
CommandType     Name                                               Version    Source
Function        Remove-MgDeviceManagementDeviceCompliancePolicyDe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementDeviceCompliancePolicyDe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementDeviceCompliancePolicyDe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementDeviceCompliancePolicyDe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementDeviceCompliancePolicySc… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementDeviceCompliancePolicySc… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementDeviceCompliancePolicySe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementDeviceCompliancePolicySe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementDeviceCompliancePolicyUs… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementDeviceCompliancePolicyUs… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementDeviceConfiguration       2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementDeviceConfigurationAssig… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementDeviceConfigurationDevic… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementDeviceConfigurationDevic… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementDeviceConfigurationDevic… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementDeviceConfigurationDevic… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementDeviceConfigurationUserS… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementDeviceConfigurationUserS… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementManagedDevice             2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementManagedDeviceCategory     2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementManagedDeviceComplianceP… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementManagedDeviceConfigurati… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementManagedDeviceLogCollecti… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementManagedDeviceWindowsProt… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementManagedDeviceWindowsProt… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementMobileAppTroubleshooting… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementMobileAppTroubleshooting… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementNotificationMessageTempl… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementNotificationMessageTempl… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementTroubleshootingEvent      2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementUserExperienceAnalyticAp… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementUserExperienceAnalyticAp… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementUserExperienceAnalyticAp… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementUserExperienceAnalyticAp… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementUserExperienceAnalyticAp… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementUserExperienceAnalyticAp… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementUserExperienceAnalyticAp… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementUserExperienceAnalyticAp… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementUserExperienceAnalyticAp… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementUserExperienceAnalyticAp… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementUserExperienceAnalyticBa… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementUserExperienceAnalyticCa… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementUserExperienceAnalyticCa… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementUserExperienceAnalyticDe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementUserExperienceAnalyticDe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementUserExperienceAnalyticDe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementUserExperienceAnalyticDe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementUserExperienceAnalyticDe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementUserExperienceAnalyticMe… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementUserExperienceAnalyticMo… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementUserExperienceAnalyticOv… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementUserExperienceAnalyticSc… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementUserExperienceAnalyticWo… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementUserExperienceAnalyticWo… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementUserExperienceAnalyticWo… 2.11.1     Microsoft.Graph.DeviceManagement
Function        Remove-MgDeviceManagementUserExperienceAnalyticWo… 2.11.1     Microsoft.Graph.DeviceManagement
